iter	Passed	Remaining
0	174	34742
1	197	19563
2	219	14442
3	241	11852
4	262	10237
5	284	9200
6	307	8467
7	380	9142
8	521	11072
9	617	11735
10	665	11428
11	691	10840
12	749	10775
13	775	10304
14	806	9944
15	834	9593
16	864	9310
17	896	9059
18	944	8995
19	976	8790
20	1016	8660
21	1072	8678
22	1109	8535
23	1139	8354
24	1166	8163
25	1198	8017
26	1229	7876
27	1257	7722
28	1291	7613
29	1321	7486
30	1349	7359
31	1384	7267
32	1426	7219
33	1461	7137
34	1495	7048
35	1524	6944
36	1552	6840
37	1586	6765
38	1626	6714
39	1668	6672
40	1704	6610
41	1733	6519
42	1761	6430
43	1786	6335
44	1810	6236
45	1839	6159
46	1874	6102
47	1915	6065
48	1944	5991
49	1971	5915
50	2003	5852
51	2031	5781
52	2057	5707
53	2090	5652
54	2124	5601
55	2157	5549
56	2192	5501
57	2229	5457
58	2259	5400
59	2293	5351
60	2338	5328
61	2368	5272
62	2392	5201
63	2419	5141
64	2444	5077
65	2472	5020
66	2498	4959
67	2522	4897
68	2545	4833
69	2571	4775
70	2594	4714
71	2618	4654
72	2642	4598
73	2667	4542
74	2689	4482
75	2710	4422
76	2732	4365
77	2758	4315
78	2788	4270
79	2816	4224
80	2850	4187
81	2874	4136
82	2894	4080
83	2915	4026
84	2936	3972
85	2955	3918
86	2976	3866
87	2998	3816
88	3021	3767
89	3041	3717
90	3062	3667
91	3084	3621
92	3108	3576
93	3131	3531
94	3153	3485
95	3175	3439
96	3196	3394
97	3217	3348
98	3238	3303
99	3259	3259
100	3278	3213
101	3300	3171
102	3322	3128
103	3343	3086
104	3365	3044
105	3387	3003
106	3407	2961
107	3427	2919
108	3455	2884
109	3479	2846
110	3500	2806
111	3521	2766
112	3542	2727
113	3564	2688
114	3584	2649
115	3605	2610
116	3626	2572
117	3648	2535
118	3669	2497
119	3690	2460
120	3710	2422
121	3732	2386
122	3752	2348
123	3772	2312
124	3795	2277
125	3816	2241
126	3837	2205
127	3857	2169
128	3878	2134
129	3898	2099
130	3920	2064
131	3943	2031
132	3964	1997
133	3985	1962
134	4018	1934
135	4045	1903
136	4064	1869
137	4086	1835
138	4106	1802
139	4127	1769
140	4148	1736
141	4169	1703
142	4189	1670
143	4210	1637
144	4230	1604
145	4253	1573
146	4274	1541
147	4295	1509
148	4315	1476
149	4336	1445
150	4356	1413
151	4376	1382
152	4397	1350
153	4420	1320
154	4442	1289
155	4463	1259
156	4485	1228
157	4505	1197
158	4535	1169
159	4561	1140
160	4580	1109
161	4597	1078
162	4615	1047
163	4632	1016
164	4650	986
165	4668	956
166	4686	926
167	4703	895
168	4721	866
169	4738	836
170	4755	806
171	4772	776
172	4789	747
173	4806	718
174	4822	688
175	4840	660
176	4857	631
177	4875	602
178	4891	573
179	4909	545
180	4926	517
181	4948	489
182	4979	462
183	4996	434
184	5013	406
185	5029	378
186	5047	350
187	5064	323
188	5080	295
189	5097	268
190	5114	240
191	5130	213
192	5147	186
193	5164	159
194	5181	132
195	5197	106
196	5215	79
197	5232	52
198	5249	26
199	5266	0
