Gender,Age,Height,Weight,family_history_with_overweight,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,MTRANS
0,21.0,1.63,60.0,1,1,3.0,3.0,0,1,2.0,0,2.0,0.0,2,3
0,20.924955,1.752531,133.61871,1,1,3.0,3.0,2,0,2.887659,0,1.480919,0.779641,2,3
0,22.89974,1.661715,82.595795,1,1,1.203754,1.355354,2,0,2.765593,0,0.128342,1.659476,2,3
0,21.837996,1.588046,44.23607,0,0,3.0,1.69608,1,0,2.550307,0,1.098862,0.0,3,3
1,25.994745,1.811602,106.042145,1,1,3.0,3.0,2,0,2.858171,0,1.813318,0.680215,2,3
1,23.327835,1.754439,119.44121,1,1,1.893428,3.0,2,0,2.0,0,1.917383,0.93648,2,3
1,32.895638,1.783901,103.77137,1,1,2.902469,1.734762,2,0,2.600238,0,2.113992,0.584755,2,0
1,24.679808,1.7,84.68755,1,1,2.0,3.0,2,0,2.020424,0,0.0,1.0,2,3
0,26.0,1.644141,111.94254,1,1,3.0,3.0,2,0,2.763005,0,0.0,0.101867,2,3
0,22.99368,1.741377,54.87711,1,1,3.0,3.0,1,0,2.009796,0,2.0,0.071317,3,3
1,30.958052,1.906821,128.85667,1,1,2.633855,3.0,2,0,1.619305,0,1.847802,0.424612,2,3
0,21.0,1.53,65.0,1,0,2.0,3.0,2,0,1.0,0,0.0,1.0,3,3
0,26.0,1.643421,111.93998,1,1,3.0,3.0,2,0,2.722276,0,0.0,0.091711,2,3
1,19.0,1.8,60.0,1,1,3.0,1.0,0,0,1.0,1,0.0,0.0,3,2
1,18.0,1.86,110.0,1,1,2.0,1.0,2,1,2.0,0,1.0,2.0,2,3
0,25.951736,1.629442,104.83534,1,1,3.0,3.0,2,0,2.225139,0,0.035928,0.565315,2,3
0,24.0,1.6,45.0,1,0,2.0,3.0,3,0,2.0,0,1.0,0.0,3,3
0,23.0,1.6,78.0,1,1,2.0,1.0,2,1,2.0,0,1.0,0.0,1,3
1,40.50021,1.748103,108.30811,1,1,2.317459,3.734323,2,0,1.0,0,1.628637,0.0,3,0
1,18.0,1.93,86.0,0,0,3.0,4.0,0,0,2.0,0,2.0,0.0,2,4
1,22.936098,1.702825,93.63832,1,1,2.0,3.0,2,0,1.746197,0,0.455216,0.335158,3,3
1,33.0,1.83,113.0,1,1,2.0,1.0,0,0,2.0,0,1.0,2.0,1,0
0,26.0,1.632193,111.88661,1,1,3.0,3.0,2,0,2.617988,0,0.0,0.156187,2,3
1,20.0,1.831357,89.65256,1,1,2.555401,3.292386,2,0,3.0,0,2.0,0.315918,2,3
0,18.0,1.56,55.0,0,1,2.0,3.0,2,0,1.0,0,0.0,0.0,1,0
0,25.96773,1.603404,105.031906,1,1,3.0,3.0,2,0,1.919473,0,0.027101,0.546137,2,3
1,31.54075,1.828092,91.49572,1,1,2.0,2.698883,2,0,2.035104,0,0.598438,0.017016,2,0
1,18.0,1.7,78.0,0,1,1.0,3.0,2,0,2.0,0,0.0,1.0,2,3
1,40.564514,1.748015,109.758736,1,1,2.310751,3.220181,2,0,1.006643,0,1.15804,0.0,3,0
0,22.154854,1.481682,61.373867,1,0,2.0,2.983297,2,0,1.453626,0,0.32896,0.509396,3,3
1,29.0,1.77,83.0,0,1,1.0,4.0,1,0,3.0,0,0.0,1.0,3,2
1,33.72245,1.712905,103.276085,1,1,2.525884,2.040582,2,0,1.0,0,1.67036,0.023959,3,3
